Date,Open,High,Low,Close,Volume
2018-01-01,100.41,100.64,100.21,100.55,90799
2018-01-02,100.69,100.73,100.15,100.66,47726
2018-01-03,101.82,103.58,100.27,101.56,18810
2018-01-04,102.56,104.92,102.43,103.37,29980
2018-01-05,103.11,103.42,102.62,103.38,12083
2018-01-08,103.8,104.26,102.36,103.39,25327
2018-01-09,104.6,106.26,103.09,105.26,23702
2018-01-10,106.47,107.55,105.6,106.31,58033
2018-01-11,105.35,106.57,104.74,106.07,57940
2018-01-12,107.13,107.42,106.26,106.88,36097
2018-01-15,106.61,107.53,106.47,106.63,15331
2018-01-16,105.52,108.64,104.04,106.38,46250
2018-01-17,107.48,107.59,106.34,106.86,20091
2018-01-18,104.72,105.74,103.72,105.11,7465
2018-01-19,103.16,104.03,103.12,103.58,14716
2018-01-22,103.33,103.82,102.6,103.23,23969
2018-01-23,103.02,103.75,101.82,102.43,54732
2018-01-24,102.43,103.68,102.01,102.95,18333
2018-01-25,102.28,102.39,101.88,102.25,6573
2018-01-26,101.28,102.18,100.98,101.06,23312
2018-01-29,103.05,103.91,102.65,102.69,24672
2018-01-30,102.75,103.13,100.21,102.66,26524
2018-01-31,102.71,105.89,101.49,102.9,55263
2018-02-01,101.25,102.05,100.52,101.67,61017
2018-02-02,101.35,102.41,101.2,101.31,12158
2018-02-05,101.04,103.24,100.02,101.58,11894
2018-02-06,99.15,101.87,98.64,100.62,7783
2018-02-07,101.34,101.45,101.09,101.12,44303
2018-02-08,101.14,102.48,100.37,100.68,93790
2018-02-09,99.34,100.84,99.26,100.53,16073
2018-02-12,99.57,100.69,96.42,100.08,17301
2018-02-13,102.3,102.76,101.77,101.98,95490
2018-02-14,103.13,103.6,101.58,102.08,36517
2018-02-15,101.17,101.87,99.55,101.16,34072
2018-02-16,101.67,103.22,101.65,102.04,6694
2018-02-19,100.86,102.72,99.66,100.95,43422
2018-02-20,101.93,102.32,101.18,101.23,8698
2018-02-21,99.11,99.59,98.07,99.43,7086
2018-02-22,97.85,98.33,97.38,98.24,15571
2018-02-23,98.24,98.89,97.96,98.48,12261
2018-02-26,98.74,100.15,97.79,99.21,17648
2018-02-27,99.47,100.08,98.62,99.41,5213
2018-02-28,100.14,101.46,99.3,99.33,57458
2018-03-01,99.23,100.0,97.72,99.07,68028
2018-03-02,97.58,98.68,96.89,97.7,3142
2018-03-05,96.89,97.76,96.39,97.03,58598
2018-03-06,95.84,98.02,95.37,96.6,9793
2018-03-07,98.0,98.49,97.57,97.57,51894
2018-03-08,97.83,98.82,97.43,97.87,20569
2018-03-09,96.12,96.71,94.58,96.21,22669
2018-03-12,98.01,98.97,96.19,96.47,18304
2018-03-13,96.22,96.73,95.95,96.08,74022
2018-03-14,95.05,96.46,94.02,95.41,6376
2018-03-15,95.71,96.23,94.87,95.91,40450
2018-03-16,97.35,98.11,96.7,96.79,66259
2018-03-19,97.65,98.94,96.51,97.59,45086
2018-03-20,96.03,97.89,95.79,96.73,225189
2018-03-21,96.8,97.67,96.13,96.36,12978
2018-03-22,96.26,97.44,95.87,96.58,57371
2018-03-23,98.31,100.11,96.88,97.4,19809
2018-03-26,97.37,97.77,96.56,96.85,75614
2018-03-27,96.35,97.26,94.91,96.57,21857
2018-03-28,96.04,98.23,94.21,95.43,14944
2018-03-29,94.25,94.83,93.59,94.22,81313
2018-03-30,95.24,96.71,94.16,94.84,13472
2018-04-02,96.21,98.02,94.76,95.98,5362
2018-04-03,95.37,96.46,94.74,95.78,13136
2018-04-04,96.28,98.41,95.63,96.59,40906
2018-04-05,97.3,97.66,96.43,96.8,88613
2018-04-06,95.89,96.47,94.94,96.05,24615
2018-04-09,96.06,96.43,95.82,96.25,82305
2018-04-10,97.1,97.99,95.96,97.57,5663
2018-04-11,97.6,97.81,97.14,97.39,14139
2018-04-12,99.78,101.05,97.74,98.76,16505
2018-04-13,95.58,97.01,94.82,96.09,19642
2018-04-16,96.73,97.39,96.71,96.72,23958
2018-04-17,97.33,98.08,95.71,96.65,43954
2018-04-18,96.17,97.01,95.55,96.21,14117
2018-04-19,96.37,97.24,96.13,96.15,25311
2018-04-20,93.6,94.52,91.43,94.1,21054
2018-04-23,93.94,95.05,93.01,93.74,8726
2018-04-24,93.84,95.04,93.82,93.93,19659
2018-04-25,95.65,97.24,94.04,95.18,19078
2018-04-26,95.1,96.55,93.5,94.54,18674
2018-04-27,94.83,95.53,90.65,93.62,22737
2018-04-30,93.27,94.93,92.74,93.0,23757
2018-05-01,93.87,95.43,93.45,93.72,14295
2018-05-02,93.98,94.47,92.3,93.89,78646
2018-05-03,93.09,93.94,92.17,93.25,6839
2018-05-04,93.76,94.43,91.02,93.6,10711
2018-05-07,93.42,94.54,93.14,93.56,355032
2018-05-08,94.45,95.16,93.68,94.37,7801
2018-05-09,94.18,95.47,92.95,93.56,5688
2018-05-10,92.66,93.78,90.72,93.13,45911
2018-05-11,93.17,93.43,92.48,92.64,2759
2018-05-14,91.73,92.64,90.89,91.13,17408
2018-05-15,91.26,92.08,90.89,91.31,188306
2018-05-16,90.48,92.59,90.38,91.45,4698
2018-05-17,91.08,92.07,90.84,91.36,3035
2018-05-18,91.64,91.68,90.91,91.05,4918
2018-05-21,89.62,90.0,88.49,89.63,54087
2018-05-22,88.71,90.97,88.28,89.16,67831
2018-05-23,88.55,89.72,86.82,88.77,13192
2018-05-24,88.33,90.02,86.16,87.96,43617
2018-05-25,87.99,89.12,87.1,87.75,88455
2018-05-28,87.96,88.24,87.52,88.07,131576
2018-05-29,89.63,90.69,89.57,89.79,17217
2018-05-30,89.74,91.05,88.49,89.92,2205
2018-05-31,89.71,90.3,89.08,90.13,9692
2018-06-01,90.77,91.62,89.8,90.04,14374
2018-06-04,88.08,88.23,86.67,88.22,17001
2018-06-05,88.73,91.27,87.54,88.19,18254
2018-06-06,88.92,90.41,87.67,88.25,67433
2018-06-07,91.03,92.0,89.29,90.58,78781
2018-06-08,90.21,90.57,89.84,90.41,18551
2018-06-11,90.9,91.6,90.03,90.72,66070
2018-06-12,90.71,91.12,88.97,90.72,31497
2018-06-13,89.24,90.31,88.66,89.65,23494
2018-06-14,90.94,91.15,90.06,90.79,54532
2018-06-15,91.03,93.27,90.75,91.57,23676
2018-06-18,92.96,93.52,92.18,92.41,172441
2018-06-19,91.39,91.87,90.18,91.6,5226
2018-06-20,93.13,93.73,92.23,93.04,13158
2018-06-21,91.9,92.87,91.19,91.77,19408
2018-06-22,92.32,92.78,92.06,92.44,34181
2018-06-25,94.98,95.12,94.55,94.7,78273
2018-06-26,93.61,94.66,93.44,93.83,21495
2018-06-27,93.81,94.48,92.61,93.4,5312
2018-06-28,92.99,94.73,92.98,93.62,51149
2018-06-29,93.33,94.67,93.21,93.27,46861
2018-07-02,92.8,93.02,91.69,91.91,3159
2018-07-03,91.66,92.16,91.58,92.12,21942
2018-07-04,90.95,92.09,90.22,91.26,4491
2018-07-05,92.12,93.2,91.03,91.88,11331
2018-07-06,91.25,91.86,90.21,91.17,8930
2018-07-09,92.99,94.8,92.02,92.83,49477
2018-07-10,92.49,93.3,91.17,92.26,24756
2018-07-11,92.43,92.78,91.6,92.14,6090
2018-07-12,93.63,93.84,92.53,93.11,53107
2018-07-13,92.32,92.92,90.37,92.13,5251
2018-07-16,92.44,92.75,92.35,92.55,30641
2018-07-17,94.34,95.16,93.58,94.02,9759
2018-07-18,93.57,94.4,91.99,92.69,15280
2018-07-19,93.02,93.75,91.76,93.08,36470
2018-07-20,93.09,94.41,92.49,93.55,37102
2018-07-23,95.05,96.34,93.77,94.53,83865
2018-07-24,93.51,94.66,93.44,93.57,20287
2018-07-25,91.54,92.67,90.92,92.55,29925
2018-07-26,93.68,93.75,93.15,93.28,14217
2018-07-27,93.55,94.32,92.46,93.8,26422
2018-07-30,94.24,95.09,93.74,94.28,34183
2018-07-31,95.02,95.05,92.79,94.86,19964
2018-08-01,94.54,96.57,93.95,94.45,3627
2018-08-02,95.26,96.09,94.39,94.92,30683
2018-08-03,95.24,96.94,94.79,95.45,31715
2018-08-06,95.25,96.69,92.52,95.01,11157
2018-08-07,96.93,97.38,94.46,97.06,6097
2018-08-08,98.13,98.34,97.25,97.77,96363
2018-08-09,97.16,97.77,96.72,96.86,36006
2018-08-10,97.28,98.02,96.13,97.74,17516
2018-08-13,97.58,98.96,94.78,97.05,7065
2018-08-14,97.8,100.5,96.95,98.06,9683
2018-08-15,99.83,101.11,98.49,99.43,81031
2018-08-16,99.05,99.39,98.74,98.87,25277
2018-08-17,100.98,102.2,99.92,100.06,12700
2018-08-20,100.6,101.79,100.12,100.71,36669
2018-08-21,101.58,103.47,100.74,101.76,9755
2018-08-22,103.9,104.89,103.19,103.91,98799
2018-08-23,103.73,105.09,102.33,103.89,85203
2018-08-24,103.77,104.95,103.28,103.36,13813
2018-08-27,101.86,103.04,100.14,102.69,11746
2018-08-28,101.55,103.05,101.36,102.09,1606
2018-08-29,101.68,102.45,101.65,102.23,5006
2018-08-30,103.27,104.33,102.63,102.78,5770
2018-08-31,104.14,105.29,102.72,103.26,25214
2018-09-03,104.24,105.4,101.03,104.29,15895
2018-09-04,104.41,105.06,102.99,104.5,5736
2018-09-05,106.21,106.59,104.85,106.17,16627
2018-09-06,106.7,108.58,105.83,106.08,36509
2018-09-07,108.57,109.08,107.91,109.08,37340
2018-09-10,110.05,111.35,108.8,109.92,3295
2018-09-11,109.71,110.21,107.72,109.18,19374
2018-09-12,108.49,110.75,107.75,108.22,5522
2018-09-13,108.98,110.09,108.14,108.88,54270
2018-09-14,109.33,109.73,107.74,108.79,48249
2018-09-17,108.19,110.13,107.11,109.67,8972
2018-09-18,110.67,110.73,108.78,110.3,10238
2018-09-19,109.99,111.43,109.05,110.35,13887
2018-09-20,108.58,110.81,108.06,109.58,2315
2018-09-21,108.39,110.9,107.43,108.11,30821
2018-09-24,108.49,108.7,107.24,107.75,16766
2018-09-25,108.65,109.7,107.81,108.72,58114
2018-09-26,109.55,111.25,107.28,109.03,7343
2018-09-27,108.69,108.97,107.57,107.82,11859
2018-09-28,108.77,109.97,107.37,108.06,4882
2018-10-01,109.41,109.93,107.63,108.52,8068
2018-10-02,108.06,108.06,106.35,107.66,6754
2018-10-03,107.9,108.54,107.25,107.86,59633
2018-10-04,107.1,109.14,106.96,107.96,10957
2018-10-05,106.68,107.7,105.54,106.81,24938
2018-10-08,106.75,108.18,106.74,107.2,15051
2018-10-09,108.95,110.63,105.96,107.78,6189
2018-10-10,108.81,110.64,107.6,108.91,18614
2018-10-11,110.08,110.71,109.27,110.01,40098
2018-10-12,108.86,110.38,107.9,108.56,6582
2018-10-15,107.59,109.04,107.15,107.57,49469
2018-10-16,108.99,110.47,106.97,108.07,9417
2018-10-17,108.23,108.73,107.12,108.57,13589
2018-10-18,109.18,109.73,108.66,109.07,37447
2018-10-19,112.71,115.16,111.98,113.13,11345
2018-10-22,112.96,114.51,111.91,113.71,22869
2018-10-23,114.55,115.18,113.98,114.9,16079
2018-10-24,115.88,117.09,114.54,115.9,25068
2018-10-25,116.31,117.99,116.0,116.56,2037
2018-10-26,115.73,117.25,114.77,116.13,3534
2018-10-29,116.08,118.8,115.48,116.9,40780
2018-10-30,115.89,116.27,114.36,115.94,62142
2018-10-31,114.71,117.42,113.76,115.58,8861
2018-11-01,115.38,116.16,114.76,114.94,17256
2018-11-02,114.97,115.12,113.46,114.92,29576
2018-11-05,116.58,118.05,116.34,117.44,44056
2018-11-06,115.02,115.59,113.8,115.2,2899
2018-11-07,115.42,116.36,114.99,115.86,9081
2018-11-08,114.11,114.2,112.39,113.93,15794
2018-11-09,114.03,114.71,111.81,113.27,44495
2018-11-12,113.29,114.55,111.4,114.36,267916
2018-11-13,114.37,114.46,113.95,114.3,17535
2018-11-14,112.87,115.36,112.21,112.96,5393
2018-11-15,112.41,112.92,110.45,112.03,32934
2018-11-16,112.77,113.87,112.15,112.65,82536
2018-11-19,111.27,112.98,110.71,111.69,24538
2018-11-20,111.61,113.68,111.11,111.79,8895
2018-11-21,111.26,113.7,110.99,111.7,57411
2018-11-22,111.43,112.94,109.4,110.83,42768
2018-11-23,113.09,113.89,112.92,113.08,7894
2018-11-26,114.74,116.98,112.41,113.66,32254
2018-11-27,111.2,111.81,108.76,111.23,59710
2018-11-28,110.9,111.49,109.19,111.29,71817
2018-11-29,109.57,110.85,108.34,110.41,20610
